"FMR1","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-lh-bankssts",7.53721724584769,1,"bankssts",80,"#9E9EFF",158,158,255,0
"ctx-lh-caudalanteriorcingulate",7.5254422526236,2,"caudalanteriorcingulate",72,"#8E8EFF",142,142,255,0
"ctx-lh-caudalmiddlefrontal",7.69939633805735,3,"caudalmiddlefrontal",192,"#FF8080",255,128,128,0
"ctx-lh-cuneus",7.68590286030393,5,"cuneus",183,"#FF9292",255,146,146,0
"ctx-lh-entorhinal",7.55601421058664,6,"entorhinal",93,"#B8B8FF",184,184,255,0
"ctx-lh-fusiform",7.53599860183582,7,"fusiform",79,"#9C9CFF",156,156,255,0
"ctx-lh-inferiorparietal",7.70831179397007,8,"inferiorparietal",198,"#FF7373",255,115,115,0
"ctx-lh-inferiortemporal",7.51400884824709,9,"inferiortemporal",64,"#7E7EFF",126,126,255,0
"ctx-lh-isthmuscingulate",7.66046062132703,10,"isthmuscingulate",165,"#FFB6B6",255,182,182,0
"ctx-lh-lateraloccipital",7.74038123147841,11,"lateraloccipital",220,"#FF4848",255,72,72,0
"ctx-lh-lateralorbitofrontal",7.68129726732926,12,"lateralorbitofrontal",180,"#FF9898",255,152,152,0
"ctx-lh-lingual",7.7134413280622,13,"lingual",202,"#FF6C6C",255,108,108,0
"ctx-lh-medialorbitofrontal",7.55727795426735,14,"medialorbitofrontal",94,"#BABAFF",186,186,255,0
"ctx-lh-middletemporal",7.65693809055485,15,"middletemporal",163,"#FFBABA",255,186,186,0
"ctx-lh-parahippocampal",7.49619014501214,16,"parahippocampal",52,"#6666FF",102,102,255,0
"ctx-lh-paracentral",7.67198615451658,17,"paracentral",173,"#FFA5A5",255,165,165,0
"ctx-lh-parsopercularis",7.65046104380986,18,"parsopercularis",158,"#FFC3C3",255,195,195,0
"ctx-lh-parsorbitalis",7.79198749721343,19,"parsorbitalis",256,"#FF0000",255,0,0,0
"ctx-lh-parstriangularis",7.63123869522592,20,"parstriangularis",145,"#FFDEDE",255,222,222,0
"ctx-lh-pericalcarine",7.64557780069671,21,"pericalcarine",155,"#FFCACA",255,202,202,0
"ctx-lh-postcentral",7.71744938638832,22,"postcentral",205,"#FF6565",255,101,101,0
"ctx-lh-posteriorcingulate",7.58988817167618,23,"posteriorcingulate",117,"#E8E8FF",232,232,255,0
"ctx-lh-precentral",7.65074603496261,24,"precentral",159,"#FFC2C2",255,194,194,0
"ctx-lh-precuneus",7.65308361635276,25,"precuneus",160,"#FFC0C0",255,192,192,0
"ctx-lh-rostralanteriorcingulate",7.63531449094946,26,"rostralanteriorcingulate",148,"#FFD8D8",255,216,216,0
"ctx-lh-rostralmiddlefrontal",7.60543868378215,27,"rostralmiddlefrontal",127,"#FCFCFF",252,252,255,0
"ctx-lh-superiorfrontal",7.52057802041762,28,"superiorfrontal",69,"#8888FF",136,136,255,0
"ctx-lh-superiorparietal",7.70879136901788,29,"superiorparietal",199,"#FF7171",255,113,113,0
"ctx-lh-superiortemporal",7.58355878237051,30,"superiortemporal",112,"#DEDEFF",222,222,255,0
"ctx-lh-supramarginal",7.72602931313903,31,"supramarginal",210,"#FF5C5C",255,92,92,0
"ctx-lh-frontalpole",7.61719712880109,32,"frontalpole",135,"#FFF2F2",255,242,242,0
"ctx-lh-temporalpole",7.42249202099598,33,"temporalpole",1,"#0000FF",0,0,255,0
"ctx-lh-transversetemporal",7.64583573067986,34,"transversetemporal",155,"#FFCACA",255,202,202,0
"ctx-lh-insula",7.46377836489913,35,"insula",29,"#3838FF",56,56,255,0
