"FOXP2","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-lh-bankssts",4.14653556153642,1,"bankssts",176,"#FFA0A0",255,160,160,0
"ctx-lh-caudalanteriorcingulate",3.42744267741377,2,"caudalanteriorcingulate",3,"#0404FF",4,4,255,0
"ctx-lh-caudalmiddlefrontal",3.86642676775348,3,"caudalmiddlefrontal",109,"#D8D8FF",216,216,255,0
"ctx-lh-cuneus",4.28293035069923,5,"cuneus",209,"#FF5E5E",255,94,94,0
"ctx-lh-entorhinal",3.41776718187517,6,"entorhinal",1,"#0000FF",0,0,255,0
"ctx-lh-fusiform",4.09832192409439,7,"fusiform",165,"#FFB6B6",255,182,182,0
"ctx-lh-inferiorparietal",4.27545632587963,8,"inferiorparietal",207,"#FF6161",255,97,97,0
"ctx-lh-inferiortemporal",4.22600382782994,9,"inferiortemporal",195,"#FF7A7A",255,122,122,0
"ctx-lh-isthmuscingulate",4.05394175709913,10,"isthmuscingulate",154,"#FFCCCC",255,204,204,0
"ctx-lh-lateraloccipital",4.35881184567297,11,"lateraloccipital",227,"#FF3A3A",255,58,58,0
"ctx-lh-lateralorbitofrontal",4.16369785647108,12,"lateralorbitofrontal",180,"#FF9898",255,152,152,0
"ctx-lh-lingual",4.47756666669966,13,"lingual",256,"#FF0000",255,0,0,0
"ctx-lh-medialorbitofrontal",3.87681056623379,14,"medialorbitofrontal",111,"#DCDCFF",220,220,255,0
"ctx-lh-middletemporal",4.23913597144647,15,"middletemporal",199,"#FF7171",255,113,113,0
"ctx-lh-parahippocampal",4.06645530774818,16,"parahippocampal",157,"#FFC5C5",255,197,197,0
"ctx-lh-paracentral",3.85703133527789,17,"paracentral",107,"#D3D3FF",211,211,255,0
"ctx-lh-parsopercularis",3.99420031452491,18,"parsopercularis",140,"#FFE8E8",255,232,232,0
"ctx-lh-parsorbitalis",4.17258661964963,19,"parsorbitalis",183,"#FF9292",255,146,146,0
"ctx-lh-parstriangularis",4.02163034134812,20,"parstriangularis",146,"#FFDCDC",255,220,220,0
"ctx-lh-pericalcarine",4.29955159554691,21,"pericalcarine",213,"#FF5656",255,86,86,0
"ctx-lh-postcentral",4.11533245544988,22,"postcentral",169,"#FFAEAE",255,174,174,0
"ctx-lh-posteriorcingulate",3.97649980888231,23,"posteriorcingulate",135,"#FFF2F2",255,242,242,0
"ctx-lh-precentral",3.86371924379459,24,"precentral",108,"#D6D6FF",214,214,255,0
"ctx-lh-precuneus",4.20014685675073,25,"precuneus",189,"#FF8585",255,133,133,0
"ctx-lh-rostralanteriorcingulate",3.74642541938598,26,"rostralanteriorcingulate",80,"#9E9EFF",158,158,255,0
"ctx-lh-rostralmiddlefrontal",3.98122670901593,27,"rostralmiddlefrontal",137,"#FFEEEE",255,238,238,0
"ctx-lh-superiorfrontal",3.95504019455805,28,"superiorfrontal",130,"#FFFCFC",255,252,252,0
"ctx-lh-superiorparietal",4.30008354052766,29,"superiorparietal",213,"#FF5656",255,86,86,0
"ctx-lh-superiortemporal",4.19411511775257,30,"superiortemporal",188,"#FF8888",255,136,136,0
"ctx-lh-supramarginal",4.27891349928582,31,"supramarginal",208,"#FF6060",255,96,96,0
"ctx-lh-frontalpole",3.92823669876678,32,"frontalpole",124,"#F6F6FF",246,246,255,0
"ctx-lh-temporalpole",3.75872562521451,33,"temporalpole",83,"#A3A3FF",163,163,255,0
"ctx-lh-transversetemporal",4.36084322643814,34,"transversetemporal",228,"#FF3838",255,56,56,0
"ctx-lh-insula",4.17484578414068,35,"insula",183,"#FF9292",255,146,146,0
