"FOXP2","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-rh-bankssts",3.9246073644561,1,"bankssts",93,"#B8B8FF",184,184,255,0
"ctx-rh-caudalanteriorcingulate",3.75182881481995,2,"caudalanteriorcingulate",62,"#7979FF",121,121,255,0
"ctx-rh-caudalmiddlefrontal",4.09212864263874,3,"caudalmiddlefrontal",123,"#F3F3FF",243,243,255,0
"ctx-rh-cuneus",4.78148812319264,5,"cuneus",247,"#FF1111",255,17,17,0
"ctx-rh-entorhinal",3.41279671175652,6,"entorhinal",1,"#0000FF",0,0,255,0
"ctx-rh-fusiform",4.14363584462745,7,"fusiform",133,"#FFF6F6",255,246,246,0
"ctx-rh-inferiorparietal",4.56426045499875,8,"inferiorparietal",208,"#FF6060",255,96,96,0
"ctx-rh-inferiortemporal",4.53932413627433,9,"inferiortemporal",204,"#FF6868",255,104,104,0
"ctx-rh-isthmuscingulate",3.98029507969858,10,"isthmuscingulate",103,"#CCCCFF",204,204,255,0
"ctx-rh-lateraloccipital",4.62971265053506,11,"lateraloccipital",220,"#FF4848",255,72,72,0
"ctx-rh-lateralorbitofrontal",4.35620721093394,12,"lateralorbitofrontal",171,"#FFAAAA",255,170,170,0
"ctx-rh-lingual",4.3357812849967,13,"lingual",167,"#FFB2B2",255,178,178,0
"ctx-rh-medialorbitofrontal",4.3005093879121,14,"medialorbitofrontal",161,"#FFBEBE",255,190,190,0
"ctx-rh-middletemporal",4.515934889537,15,"middletemporal",200,"#FF7070",255,112,112,0
"ctx-rh-parahippocampal",4.18067402983723,16,"parahippocampal",139,"#FFEAEA",255,234,234,0
"ctx-rh-paracentral",3.81643378591535,17,"paracentral",74,"#9292FF",146,146,255,0
"ctx-rh-parsopercularis",3.90163843555286,18,"parsopercularis",89,"#B0B0FF",176,176,255,0
"ctx-rh-parsorbitalis",4.36603709668336,19,"parsorbitalis",173,"#FFA5A5",255,165,165,0
"ctx-rh-parstriangularis",4.12256914048575,20,"parstriangularis",129,"#FFFEFE",255,254,254,0
"ctx-rh-pericalcarine",4.82910302175109,21,"pericalcarine",256,"#FF0000",255,0,0,0
"ctx-rh-postcentral",4.39271667827813,22,"postcentral",177,"#FF9E9E",255,158,158,0
"ctx-rh-posteriorcingulate",3.83694878839511,23,"posteriorcingulate",77,"#9898FF",152,152,255,0
"ctx-rh-precentral",4.09520184207247,24,"precentral",124,"#F6F6FF",246,246,255,0
"ctx-rh-precuneus",4.45803455473826,25,"precuneus",189,"#FF8585",255,133,133,0
"ctx-rh-rostralanteriorcingulate",4.07335741861563,26,"rostralanteriorcingulate",120,"#EEEEFF",238,238,255,0
"ctx-rh-rostralmiddlefrontal",4.45245265188361,27,"rostralmiddlefrontal",188,"#FF8888",255,136,136,0
"ctx-rh-superiorfrontal",4.09993751467012,28,"superiorfrontal",125,"#F8F8FF",248,248,255,0
"ctx-rh-superiorparietal",4.64012204910835,29,"superiorparietal",222,"#FF4343",255,67,67,0
"ctx-rh-superiortemporal",4.2954980911426,30,"superiortemporal",160,"#FFC0C0",255,192,192,0
"ctx-rh-supramarginal",4.08432509800764,31,"supramarginal",122,"#F2F2FF",242,242,255,0
"ctx-rh-frontalpole",4.13549322346247,32,"frontalpole",131,"#FFFAFA",255,250,250,0
"ctx-rh-temporalpole",3.98081524343426,33,"temporalpole",103,"#CCCCFF",204,204,255,0
"ctx-rh-transversetemporal",4.32200009057416,34,"transversetemporal",165,"#FFB6B6",255,182,182,0
"ctx-rh-insula",4.07644979882007,35,"insula",120,"#EEEEFF",238,238,255,0
