"GAPDH","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-lh-bankssts",7.14300521760828,1,"bankssts",242,"#FF1C1C",255,28,28,0
"ctx-lh-caudalanteriorcingulate",6.78147351836483,2,"caudalanteriorcingulate",42,"#5151FF",81,81,255,0
"ctx-lh-caudalmiddlefrontal",7.02024838950873,3,"caudalmiddlefrontal",174,"#FFA3A3",255,163,163,0
"ctx-lh-cuneus",7.06900465782828,5,"cuneus",201,"#FF6E6E",255,110,110,0
"ctx-lh-entorhinal",6.93409647225301,6,"entorhinal",126,"#FAFAFF",250,250,255,0
"ctx-lh-fusiform",7.0151704441104,7,"fusiform",171,"#FFAAAA",255,170,170,0
"ctx-lh-inferiorparietal",7.03166464119376,8,"inferiorparietal",181,"#FF9696",255,150,150,0
"ctx-lh-inferiortemporal",6.94590942040112,9,"inferiortemporal",133,"#FFF6F6",255,246,246,0
"ctx-lh-isthmuscingulate",7.00750438896018,10,"isthmuscingulate",167,"#FFB2B2",255,178,178,0
"ctx-lh-lateraloccipital",7.02649889075578,11,"lateraloccipital",178,"#FF9C9C",255,156,156,0
"ctx-lh-lateralorbitofrontal",6.90120437139336,12,"lateralorbitofrontal",108,"#D6D6FF",214,214,255,0
"ctx-lh-lingual",7.10087124841228,13,"lingual",219,"#FF4A4A",255,74,74,0
"ctx-lh-medialorbitofrontal",6.75365034463771,14,"medialorbitofrontal",27,"#3434FF",52,52,255,0
"ctx-lh-middletemporal",6.9957001942607,15,"middletemporal",161,"#FFBEBE",255,190,190,0
"ctx-lh-parahippocampal",6.97185612791282,16,"parahippocampal",147,"#FFDADA",255,218,218,0
"ctx-lh-paracentral",6.99111378994648,17,"paracentral",158,"#FFC3C3",255,195,195,0
"ctx-lh-parsopercularis",6.82430627834126,18,"parsopercularis",66,"#8282FF",130,130,255,0
"ctx-lh-parsorbitalis",6.94074096020425,19,"parsorbitalis",130,"#FFFCFC",255,252,252,0
"ctx-lh-parstriangularis",6.8580224708456,20,"parstriangularis",84,"#A6A6FF",166,166,255,0
"ctx-lh-pericalcarine",7.13125273407139,21,"pericalcarine",236,"#FF2828",255,40,40,0
"ctx-lh-postcentral",7.01159572042926,22,"postcentral",169,"#FFAEAE",255,174,174,0
"ctx-lh-posteriorcingulate",6.9172289230316,23,"posteriorcingulate",117,"#E8E8FF",232,232,255,0
"ctx-lh-precentral",6.93779889888052,24,"precentral",129,"#FFFEFE",255,254,254,0
"ctx-lh-precuneus",7.10482804172076,25,"precuneus",221,"#FF4545",255,69,69,0
"ctx-lh-rostralanteriorcingulate",6.79073136025943,26,"rostralanteriorcingulate",47,"#5C5CFF",92,92,255,0
"ctx-lh-rostralmiddlefrontal",6.81642416267084,27,"rostralmiddlefrontal",61,"#7878FF",120,120,255,0
"ctx-lh-superiorfrontal",6.91145192280525,28,"superiorfrontal",114,"#E2E2FF",226,226,255,0
"ctx-lh-superiorparietal",7.16786340835814,29,"superiorparietal",256,"#FF0000",255,0,0,0
"ctx-lh-superiortemporal",6.86587595984632,30,"superiortemporal",89,"#B0B0FF",176,176,255,0
"ctx-lh-supramarginal",6.96209914713378,31,"supramarginal",142,"#FFE3E3",255,227,227,0
"ctx-lh-frontalpole",6.70756328152463,32,"frontalpole",1,"#0000FF",0,0,255,0
"ctx-lh-temporalpole",6.80533565273898,33,"temporalpole",55,"#6C6CFF",108,108,255,0
"ctx-lh-transversetemporal",7.0618327615485,34,"transversetemporal",197,"#FF7676",255,118,118,0
"ctx-lh-insula",6.85692686816837,35,"insula",84,"#A6A6FF",166,166,255,0
