"GAPDH","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-rh-bankssts",7.01480426776882,1,"bankssts",143,"#FFE2E2",255,226,226,0
"ctx-rh-caudalanteriorcingulate",6.78101562174011,2,"caudalanteriorcingulate",49,"#6060FF",96,96,255,0
"ctx-rh-caudalmiddlefrontal",6.74537630988416,3,"caudalmiddlefrontal",35,"#4444FF",68,68,255,0
"ctx-rh-cuneus",7.29587276710597,5,"cuneus",256,"#FF0000",255,0,0,0
"ctx-rh-entorhinal",6.87739991964368,6,"entorhinal",88,"#AEAEFF",174,174,255,0
"ctx-rh-fusiform",6.90424458514768,7,"fusiform",99,"#C3C3FF",195,195,255,0
"ctx-rh-inferiorparietal",6.79978938619538,8,"inferiorparietal",57,"#7070FF",112,112,255,0
"ctx-rh-inferiortemporal",6.76636411171959,9,"inferiortemporal",44,"#5656FF",86,86,255,0
"ctx-rh-isthmuscingulate",7.28944969750509,10,"isthmuscingulate",253,"#FF0505",255,5,5,0
"ctx-rh-lateraloccipital",7.02118479823871,11,"lateraloccipital",146,"#FFDCDC",255,220,220,0
"ctx-rh-lateralorbitofrontal",6.78910038909295,12,"lateralorbitofrontal",53,"#6868FF",104,104,255,0
"ctx-rh-lingual",7.19790550110442,13,"lingual",217,"#FF4E4E",255,78,78,0
"ctx-rh-medialorbitofrontal",6.78540920585416,14,"medialorbitofrontal",51,"#6464FF",100,100,255,0
"ctx-rh-middletemporal",6.81060367039797,15,"middletemporal",61,"#7878FF",120,120,255,0
"ctx-rh-parahippocampal",6.99548915976047,16,"parahippocampal",135,"#FFF2F2",255,242,242,0
"ctx-rh-paracentral",7.14648096848465,17,"paracentral",196,"#FF7878",255,120,120,0
"ctx-rh-parsopercularis",7.00878158240968,18,"parsopercularis",141,"#FFE5E5",255,229,229,0
"ctx-rh-parsorbitalis",6.77541246084107,19,"parsorbitalis",47,"#5C5CFF",92,92,255,0
"ctx-rh-parstriangularis",6.660456438198,20,"parstriangularis",1,"#0000FF",0,0,255,0
"ctx-rh-pericalcarine",7.1634964019379,21,"pericalcarine",203,"#FF6A6A",255,106,106,0
"ctx-rh-postcentral",7.00678809840336,22,"postcentral",140,"#FFE8E8",255,232,232,0
"ctx-rh-posteriorcingulate",7.03403840992277,23,"posteriorcingulate",151,"#FFD2D2",255,210,210,0
"ctx-rh-precentral",6.96182289497426,24,"precentral",122,"#F2F2FF",242,242,255,0
"ctx-rh-precuneus",6.98246374243168,25,"precuneus",130,"#FFFCFC",255,252,252,0
"ctx-rh-rostralanteriorcingulate",6.73301638726246,26,"rostralanteriorcingulate",30,"#3A3AFF",58,58,255,0
"ctx-rh-rostralmiddlefrontal",6.82045587817688,27,"rostralmiddlefrontal",65,"#8080FF",128,128,255,0
"ctx-rh-superiorfrontal",6.85498311071843,28,"superiorfrontal",79,"#9C9CFF",156,156,255,0
"ctx-rh-superiorparietal",6.86807388763893,29,"superiorparietal",84,"#A6A6FF",166,166,255,0
"ctx-rh-superiortemporal",6.86874476599218,30,"superiortemporal",85,"#A8A8FF",168,168,255,0
"ctx-rh-supramarginal",6.86967669233931,31,"supramarginal",85,"#A8A8FF",168,168,255,0
"ctx-rh-frontalpole",6.98864155067107,32,"frontalpole",133,"#FFF6F6",255,246,246,0
"ctx-rh-temporalpole",6.7535534396485,33,"temporalpole",38,"#4949FF",73,73,255,0
"ctx-rh-transversetemporal",6.96426931308471,34,"transversetemporal",123,"#F3F3FF",243,243,255,0
"ctx-rh-insula",6.87483571973728,35,"insula",87,"#ACACFF",172,172,255,0
