"GRIN2A","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-lh-bankssts",7.90430647816562,1,"bankssts",126,"#FAFAFF",250,250,255,0
"ctx-lh-caudalanteriorcingulate",7.40941684633587,2,"caudalanteriorcingulate",3,"#0404FF",4,4,255,0
"ctx-lh-caudalmiddlefrontal",7.92931986749551,3,"caudalmiddlefrontal",132,"#FFF8F8",255,248,248,0
"ctx-lh-cuneus",8.0531136996642,5,"cuneus",163,"#FFBABA",255,186,186,0
"ctx-lh-entorhinal",7.53496227069332,6,"entorhinal",34,"#4141FF",65,65,255,0
"ctx-lh-fusiform",7.82369846089338,7,"fusiform",106,"#D2D2FF",210,210,255,0
"ctx-lh-inferiorparietal",7.94784988999395,8,"inferiorparietal",137,"#FFEEEE",255,238,238,0
"ctx-lh-inferiortemporal",7.77558453682333,9,"inferiortemporal",94,"#BABAFF",186,186,255,0
"ctx-lh-isthmuscingulate",7.95418348605327,10,"isthmuscingulate",138,"#FFECEC",255,236,236,0
"ctx-lh-lateraloccipital",8.05757277440744,11,"lateraloccipital",164,"#FFB8B8",255,184,184,0
"ctx-lh-lateralorbitofrontal",7.86469196012659,12,"lateralorbitofrontal",116,"#E6E6FF",230,230,255,0
"ctx-lh-lingual",8.26346416789967,13,"lingual",215,"#FF5151",255,81,81,0
"ctx-lh-medialorbitofrontal",7.68554165871725,14,"medialorbitofrontal",72,"#8E8EFF",142,142,255,0
"ctx-lh-middletemporal",7.8954799687701,15,"middletemporal",124,"#F6F6FF",246,246,255,0
"ctx-lh-parahippocampal",7.73097558630762,16,"parahippocampal",83,"#A3A3FF",163,163,255,0
"ctx-lh-paracentral",7.83792314761731,17,"paracentral",109,"#D8D8FF",216,216,255,0
"ctx-lh-parsopercularis",7.68581640979667,18,"parsopercularis",72,"#8E8EFF",142,142,255,0
"ctx-lh-parsorbitalis",7.9627067845018,19,"parsorbitalis",140,"#FFE8E8",255,232,232,0
"ctx-lh-parstriangularis",7.7293262629684,20,"parstriangularis",83,"#A3A3FF",163,163,255,0
"ctx-lh-pericalcarine",8.42951630788899,21,"pericalcarine",256,"#FF0000",255,0,0,0
"ctx-lh-postcentral",7.84453471104315,22,"postcentral",111,"#DCDCFF",220,220,255,0
"ctx-lh-posteriorcingulate",7.8425034076378,23,"posteriorcingulate",111,"#DCDCFF",220,220,255,0
"ctx-lh-precentral",7.76901927494123,24,"precentral",92,"#B6B6FF",182,182,255,0
"ctx-lh-precuneus",7.94090576858942,25,"precuneus",135,"#FFF2F2",255,242,242,0
"ctx-lh-rostralanteriorcingulate",7.4003268472417,26,"rostralanteriorcingulate",1,"#0000FF",0,0,255,0
"ctx-lh-rostralmiddlefrontal",7.82536359932925,27,"rostralmiddlefrontal",106,"#D2D2FF",210,210,255,0
"ctx-lh-superiorfrontal",7.83596960691924,28,"superiorfrontal",109,"#D8D8FF",216,216,255,0
"ctx-lh-superiorparietal",7.88791942964399,29,"superiorparietal",122,"#F2F2FF",242,242,255,0
"ctx-lh-superiortemporal",7.78697198238291,30,"superiortemporal",97,"#C0C0FF",192,192,255,0
"ctx-lh-supramarginal",7.88678744156363,31,"supramarginal",122,"#F2F2FF",242,242,255,0
"ctx-lh-frontalpole",8.09579548327561,32,"frontalpole",173,"#FFA5A5",255,165,165,0
"ctx-lh-temporalpole",7.53043626817568,33,"temporalpole",33,"#4040FF",64,64,255,0
"ctx-lh-transversetemporal",7.90864547877446,34,"transversetemporal",127,"#FCFCFF",252,252,255,0
"ctx-lh-insula",7.70621588591489,35,"insula",77,"#9898FF",152,152,255,0
