"ZDHHC9","annotationNumber","Label.name","normalizedExpression","hexColor","r","g","b","a"
"ctx-lh-bankssts",6.68539105041125,1,"bankssts",236,"#FF2828",255,40,40,0
"ctx-lh-caudalanteriorcingulate",6.43301479167648,2,"caudalanteriorcingulate",189,"#FF8585",255,133,133,0
"ctx-lh-caudalmiddlefrontal",6.49701477594726,3,"caudalmiddlefrontal",201,"#FF6E6E",255,110,110,0
"ctx-lh-cuneus",6.134421037347,5,"cuneus",134,"#FFF3F3",255,243,243,0
"ctx-lh-entorhinal",6.39365088776931,6,"entorhinal",182,"#FF9393",255,147,147,0
"ctx-lh-fusiform",6.42861937481631,7,"fusiform",188,"#FF8888",255,136,136,0
"ctx-lh-inferiorparietal",6.14407165449993,8,"inferiorparietal",136,"#FFF0F0",255,240,240,0
"ctx-lh-inferiortemporal",6.46647938569564,9,"inferiortemporal",195,"#FF7A7A",255,122,122,0
"ctx-lh-isthmuscingulate",6.20147629466426,10,"isthmuscingulate",147,"#FFDADA",255,218,218,0
"ctx-lh-lateraloccipital",6.29947609913679,11,"lateraloccipital",165,"#FFB6B6",255,182,182,0
"ctx-lh-lateralorbitofrontal",5.98071444128874,12,"lateralorbitofrontal",106,"#D2D2FF",210,210,255,0
"ctx-lh-lingual",6.35173253631384,13,"lingual",174,"#FFA3A3",255,163,163,0
"ctx-lh-medialorbitofrontal",6.17632465115313,14,"medialorbitofrontal",142,"#FFE3E3",255,227,227,0
"ctx-lh-middletemporal",6.54563196560172,15,"middletemporal",210,"#FF5C5C",255,92,92,0
"ctx-lh-parahippocampal",6.60344281231166,16,"parahippocampal",221,"#FF4545",255,69,69,0
"ctx-lh-paracentral",6.3774631611555,17,"paracentral",179,"#FF9A9A",255,154,154,0
"ctx-lh-parsopercularis",6.5902371423797,18,"parsopercularis",218,"#FF4C4C",255,76,76,0
"ctx-lh-parsorbitalis",6.42650021654762,19,"parsorbitalis",188,"#FF8888",255,136,136,0
"ctx-lh-parstriangularis",6.21994201206828,20,"parstriangularis",150,"#FFD3D3",255,211,211,0
"ctx-lh-pericalcarine",6.20615778373291,21,"pericalcarine",147,"#FFDADA",255,218,218,0
"ctx-lh-postcentral",6.47856264188732,22,"postcentral",198,"#FF7373",255,115,115,0
"ctx-lh-posteriorcingulate",6.01322520073925,23,"posteriorcingulate",112,"#DEDEFF",222,222,255,0
"ctx-lh-precentral",6.50232714072696,24,"precentral",202,"#FF6C6C",255,108,108,0
"ctx-lh-precuneus",6.33091176911188,25,"precuneus",170,"#FFACAC",255,172,172,0
"ctx-lh-rostralanteriorcingulate",6.13337480063586,26,"rostralanteriorcingulate",134,"#FFF3F3",255,243,243,0
"ctx-lh-rostralmiddlefrontal",6.32041041699318,27,"rostralmiddlefrontal",168,"#FFB0B0",255,176,176,0
"ctx-lh-superiorfrontal",6.33385560561454,28,"superiorfrontal",171,"#FFAAAA",255,170,170,0
"ctx-lh-superiorparietal",6.40045021230451,29,"superiorparietal",183,"#FF9292",255,146,146,0
"ctx-lh-superiortemporal",6.28759441872328,30,"superiortemporal",162,"#FFBCBC",255,188,188,0
"ctx-lh-supramarginal",6.33209687488378,31,"supramarginal",171,"#FFAAAA",255,170,170,0
"ctx-lh-frontalpole",5.41126628298271,32,"frontalpole",1,"#0000FF",0,0,255,0
"ctx-lh-temporalpole",5.72412694888613,33,"temporalpole",59,"#7474FF",116,116,255,0
"ctx-lh-transversetemporal",6.79575344321631,34,"transversetemporal",256,"#FF0000",255,0,0,0
"ctx-lh-insula",6.32346378337379,35,"insula",169,"#FFAEAE",255,174,174,0
